ID,Metin_Turu,Veri 1,Veri 2,Veri 3,Veri 4,Veri 5,Aydınlatma Metni Taslağı
1,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Email,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Email
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
2,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Mezun Olduğu Okul,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Mezun Olduğu Okul
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
3,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Çalışılan Şirket,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Çalışılan Şirket
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
4,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Pozisyon Bilgisi,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Pozisyon Bilgisi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
5,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Banka Hesap Bilgileri,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Banka Hesap Bilgileri
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
6,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Ürün Tercihi,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Ürün Tercihi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
7,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Satış Adedi,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Satış Adedi
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
8,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Adres,Müşteri Adı,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Adres, Müşteri Adı
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
9,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Mezun Olduğu Okul,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Email, Mezun Olduğu Okul
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
10,Aydınlatma Metni,Ad/Soyad,TCKN,Telefon Numarası,Email,Çalışılan Şirket,"6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) uyarınca, veri sorumlusu sıfatıyla, kişisel verileriniz aşağıda açıklanan çerçevede işlenebilecektir.
1. Veri Sorumlusunun Kimliği
Bu aydınlatma metni, veri sorumlusu sıfatıyla .........olay özelinde doldurunuz............tarafından hazırlanmıştır.
2. Kişisel Verilerin İşlenme Amacı
Kişisel verileriniz, .......................olay özelinde doldurunuz.......................... kapsamında, aşağıda belirtilen amaçlar doğrultusunda işlenmektedir:
Amaç: ......... (Olay özelinde eklenmelidir.)
3. İşlenecek Kişisel Veriler
İşlenecek kişisel verileriniz aşağıdakilerle sınırlı olmamak üzere şunlardır: Ad/Soyad, TCKN, Telefon Numarası, Email, Çalışılan Şirket
Diğer: ……………. (İşlenen diğer veriler var ise ekleyiniz.)
4. Kişisel Verilerin Toplama Yöntemi ve Hukuki Sebebi
Kişisel verileriniz; sözlü, yazılı veya elektronik ortamda, yukarıda belirtilen amaçlar doğrultusunda KVKK’nın 5. ve 6. maddelerinde belirtilen hukuki sebepler kapsamında toplanmaktadır.
5. Kişisel Verilerin Aktarılması
Toplanan kişisel verileriniz, yalnızca amaçla sınırlı olmak üzere ve KVKK’nın 8. ve 9. maddelerinde belirtilen şartlar çerçevesinde gerekli görülen kişi, kurum ve kuruluşlara aktarılabilecektir.
Aktarım yapılacak taraflar: .......................olay özelinde doldurunuz..........................
6. İlgili Kişinin Hakları
KVKK’nın 11. maddesi uyarınca, kişisel veri sahibi olarak veri sorumlusuna başvurarak aşağıdaki haklara sahipsiniz:
• Kişisel verinizin işlenip işlenmediğini öğrenme,
• Kişisel verileriniz işlenmişse buna ilişkin bilgi talep etme,
• İşleme amacını ve amaca uygun kullanılıp kullanılmadığını öğrenme,
• Yurt içinde veya yurt dışında kişisel verilerin aktarıldığı üçüncü kişileri bilme,
• Eksik veya yanlış işlenmişse düzeltilmesini isteme,
• KVKK’ya uygun olarak silinmesini veya yok edilmesini isteme,
• Aktarıldığı üçüncü kişilere yukarıdaki taleplerin bildirilmesini isteme,
• İşlenen verilerin münhasıran otomatik sistemler vasıtasıyla analiz edilmesi nedeniyle aleyhe bir sonucun ortaya çıkmasına itiraz etme,
• Kanuna aykırı olarak işlenmesi sebebiyle zarara uğramanız hâlinde zararın giderilmesini talep etme."
